log_id,customer_key,log_date,topic,category,description,sentiment,channel,priority,resolution_date,agent_key
1,154,2024-04-19,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Email,Niedrig,2024-04-30,1
2,856,2023-03-12,Solar,Technisch,Monitoring nicht verfügbar,Neutral,Email,Mittel,2023-03-22,80
3,951,2024-02-25,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Positiv,App,Niedrig,2024-03-06,95
4,984,2024-02-27,Allgemein,Service,Allgemeine Anfrage,Neutral,Telefon,Niedrig,2024-02-29,30
5,992,2023-01-23,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Email,Mittel,2023-02-05,99
6,654,2024-06-26,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Positiv,Telefon,Mittel,2024-07-10,5
7,821,2023-01-01,Allgemein,Service,Beschwerde,Negativ,Email,Kritisch,2023-01-05,60
8,787,2024-02-10,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Hoch,2024-02-10,30
9,37,2023-03-24,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Email,Hoch,2023-04-07,31
10,367,2023-11-10,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,App,Mittel,2023-11-17,57
11,898,2023-05-28,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Email,Mittel,2023-05-31,87
12,329,2024-10-12,Wallbox,E-Mobility,Wallbox Installation,Negativ,Chat,Mittel,2024-10-16,41
13,684,2024-05-16,Allgemein,Service,Beschwerde,Negativ,App,Hoch,2024-05-29,25
14,712,2023-06-14,Allgemein,Service,Allgemeine Anfrage,Positiv,Email,Mittel,2023-06-17,57
15,443,2024-01-29,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Chat,Niedrig,2024-02-09,6
16,689,2025-05-22,Allgemein,Service,Beschwerde,Negativ,Telefon,Hoch,2025-05-27,74
17,672,2023-04-01,Solar,Technisch,Solaranlage Ertrag niedrig,Negativ,Chat,Mittel,2023-04-03,89
18,630,2024-12-25,Allgemein,Service,Allgemeine Anfrage,Neutral,App,Mittel,2024-12-25,97
19,930,2024-10-22,Wallbox,E-Mobility,Wallbox Installation,Negativ,App,Hoch,2024-10-27,4
20,642,2023-06-05,Tarif,Vertrag,Umzug melden,Positiv,Email,Niedrig,2023-06-07,75
