campaign_key,campaign_name,objective
1,Grüner Strom Aktion,Neukundengewinnung
2,Wärmepumpen Förderung 2024,Produktlaunch
3,Solar Frühlings-Rabatt,Upsell
4,Smart Home Einführungsangebot,Produktlaunch
5,E-Mobility Bonus,Neukundengewinnung
6,Ökostrom für alle,Markenbekanntheit
7,Wintercheck Heizung,Kundenbindung
8,Energiespar-Challenge,Engagement
9,Nachbarschafts-Empfehlung,Empfehlung
10,Business Energy Paket,Lead-Generierung
11,Energie Kampagne 11,Neukundengewinnung
12,Energie Kampagne 12,Neukundengewinnung
13,Energie Kampagne 13,Neukundengewinnung
14,Energie Kampagne 14,Upsell
15,Energie Kampagne 15,Neukundengewinnung
16,Energie Kampagne 16,Kundenbindung
17,Energie Kampagne 17,Upsell
18,Energie Kampagne 18,Kundenbindung
19,Energie Kampagne 19,Upsell
20,Energie Kampagne 20,Upsell
21,Energie Kampagne 21,Upsell
22,Energie Kampagne 22,Upsell
23,Energie Kampagne 23,Kundenbindung
24,Energie Kampagne 24,Kundenbindung
25,Energie Kampagne 25,Upsell
26,Energie Kampagne 26,Neukundengewinnung
27,Energie Kampagne 27,Upsell
28,Energie Kampagne 28,Upsell
29,Energie Kampagne 29,Upsell
30,Energie Kampagne 30,Lead-Generierung
31,Energie Kampagne 31,Lead-Generierung
32,Energie Kampagne 32,Neukundengewinnung
33,Energie Kampagne 33,Lead-Generierung
34,Energie Kampagne 34,Kundenbindung
35,Energie Kampagne 35,Lead-Generierung
36,Energie Kampagne 36,Kundenbindung
37,Energie Kampagne 37,Kundenbindung
38,Energie Kampagne 38,Kundenbindung
39,Energie Kampagne 39,Lead-Generierung
40,Energie Kampagne 40,Kundenbindung
41,Energie Kampagne 41,Lead-Generierung
42,Energie Kampagne 42,Lead-Generierung
43,Energie Kampagne 43,Upsell
44,Energie Kampagne 44,Neukundengewinnung
45,Energie Kampagne 45,Upsell
46,Energie Kampagne 46,Kundenbindung
47,Energie Kampagne 47,Lead-Generierung
48,Energie Kampagne 48,Lead-Generierung
49,Energie Kampagne 49,Kundenbindung
50,Energie Kampagne 50,Lead-Generierung
51,Energie Kampagne 51,Lead-Generierung
52,Energie Kampagne 52,Neukundengewinnung
53,Energie Kampagne 53,Upsell
54,Energie Kampagne 54,Kundenbindung
55,Energie Kampagne 55,Kundenbindung
56,Energie Kampagne 56,Upsell
57,Energie Kampagne 57,Neukundengewinnung
58,Energie Kampagne 58,Lead-Generierung
59,Energie Kampagne 59,Upsell
60,Energie Kampagne 60,Upsell
61,Energie Kampagne 61,Kundenbindung
62,Energie Kampagne 62,Lead-Generierung
63,Energie Kampagne 63,Lead-Generierung
64,Energie Kampagne 64,Lead-Generierung
65,Energie Kampagne 65,Upsell
66,Energie Kampagne 66,Upsell
67,Energie Kampagne 67,Neukundengewinnung
68,Energie Kampagne 68,Neukundengewinnung
69,Energie Kampagne 69,Kundenbindung
70,Energie Kampagne 70,Kundenbindung
71,Energie Kampagne 71,Upsell
72,Energie Kampagne 72,Lead-Generierung
73,Energie Kampagne 73,Lead-Generierung
74,Energie Kampagne 74,Kundenbindung
75,Energie Kampagne 75,Lead-Generierung
76,Energie Kampagne 76,Neukundengewinnung
77,Energie Kampagne 77,Lead-Generierung
78,Energie Kampagne 78,Kundenbindung
79,Energie Kampagne 79,Lead-Generierung
80,Energie Kampagne 80,Neukundengewinnung
81,Energie Kampagne 81,Upsell
82,Energie Kampagne 82,Lead-Generierung
83,Energie Kampagne 83,Upsell
84,Energie Kampagne 84,Neukundengewinnung
85,Energie Kampagne 85,Kundenbindung
86,Energie Kampagne 86,Neukundengewinnung
87,Energie Kampagne 87,Kundenbindung
88,Energie Kampagne 88,Neukundengewinnung
89,Energie Kampagne 89,Lead-Generierung
90,Energie Kampagne 90,Neukundengewinnung
91,Energie Kampagne 91,Kundenbindung
92,Energie Kampagne 92,Kundenbindung
93,Energie Kampagne 93,Neukundengewinnung
94,Energie Kampagne 94,Lead-Generierung
95,Energie Kampagne 95,Upsell
96,Energie Kampagne 96,Kundenbindung
97,Energie Kampagne 97,Kundenbindung
98,Energie Kampagne 98,Upsell
99,Energie Kampagne 99,Neukundengewinnung
100,Energie Kampagne 100,Lead-Generierung
