vendor_key,vendor_name,vendor_type,vertical,address,city,state,zip
1,Stadelmann Wärme GmbH,Lieferant,Energy,ParkStraße 15,Dortmund,West,44980
2,Seip Haustechnik GmbH,Lieferant,Energy,RathausAllee 24,Kiel,North,24506
3,Gehringer Smart UG,Installateur,Future Energy,SchillerRing 149,Stuttgart,South,70893
4,Birnbaum Klima UG,Installateur,Future Energy,SchillerAllee 85,Essen,West,45952
5,Kroker Power AG,Wartungspartner,Future Energy,MozartStraße 45,Chemnitz,East,09319
6,Schomber Haustechnik UG,E-Mobility Partner,E-Mobility,BahnhofPlatz 137,Essen,West,45483
7,Jäkel Power e.K.,Lieferant,Energy,EichenAllee 38,Kiel,North,24471
8,van der Dussen Haustechnik GmbH,Smart Home Partner,Smart Home,SeeStraße 14,Chemnitz,East,09807
9,Thies Power KG,Lieferant,Energy,KirchGasse 32,Nürnberg,South,90647
10,Wende Solar e.K.,E-Mobility Partner,E-Mobility,BirkenAllee 24,Augsburg,South,86942
11,Heintze Wärme e.K.,Wartungspartner,Future Energy,TannenGasse 105,Nürnberg,South,90908
12,Lorch Green e.K.,Installateur,Future Energy,RathausAllee 109,Kiel,North,24997
13,Sölzer Eco GmbH,Smart Home Partner,Smart Home,KirchPlatz 141,Bremen,North,28855
14,Conradi Solar AG,Installateur,Future Energy,SchulGasse 35,Essen,West,45103
15,Tlustek Elektro UG,Smart Home Partner,Smart Home,GoetheStraße 41,Dresden,East,01355
16,Dehmel Elektro e.K.,E-Mobility Partner,E-Mobility,ParkGasse 35,Freiburg,South,79366
17,Ackermann Elektro KG,Lieferant,Energy,LindenStraße 107,Ulm,South,89476
18,Hamann Smart AG,E-Mobility Partner,E-Mobility,HauptStraße 143,Augsburg,South,86762
19,Müller Klima KG,E-Mobility Partner,E-Mobility,BeethovenStraße 103,München,South,80732
20,Buchholz Wärme GmbH,Smart Home Partner,Smart Home,KirchWeg 146,Magdeburg,East,39220
21,Eigenwillig Power e.K.,Lieferant,Energy,ParkStraße 58,Rostock,North,18830
22,Scheel Haustechnik e.K.,Smart Home Partner,Smart Home,MarktWeg 111,Stuttgart,South,70976
23,Hecker Haustechnik AG,Wartungspartner,Future Energy,RathausWeg 105,Freiburg,South,79911
24,Pohl Haustechnik AG,Smart Home Partner,Smart Home,SeePlatz 64,München,South,80478
25,Stiffel Green AG,Installateur,Future Energy,TannenGasse 102,Berlin,East,10803
26,Martin Service e.K.,E-Mobility Partner,E-Mobility,SeeAllee 19,Ulm,South,89197
27,Anders Klima e.K.,Smart Home Partner,Smart Home,KirchRing 12,Hamburg,North,20105
28,Anders Power KG,Lieferant,Energy,MarktGasse 95,Duisburg,West,47235
29,Textor Haustechnik AG,Wartungspartner,Future Energy,WaldPlatz 87,Hannover,North,30998
30,Karz Elektro UG,Installateur,Future Energy,RathausWeg 67,Dresden,East,01219
31,Dussen van Green KG,Wartungspartner,Future Energy,KirchPlatz 73,Köln,West,50997
32,Löchel Eco KG,Smart Home Partner,Smart Home,RathausWeg 81,Duisburg,West,47854
33,Täsche Tech e.K.,Lieferant,Energy,BahnhofWeg 39,Dresden,East,01155
34,Eigenwillig Green KG,Installateur,Future Energy,BeethovenGasse 120,Stuttgart,South,70546
35,Müller Green KG,Installateur,Future Energy,BergPlatz 118,Lübeck,North,23604
36,Boucsein Energie KG,Wartungspartner,Future Energy,GoetheWeg 73,Rostock,North,18284
37,Hein Haustechnik UG,Lieferant,Energy,TalWeg 150,Ulm,South,89104
38,Kraus Klima e.K.,Installateur,Future Energy,SchillerAllee 7,Augsburg,South,86391
39,Cichorius Smart GmbH,Smart Home Partner,Smart Home,TannenWeg 8,Lübeck,North,23183
40,Wagenknecht Green KG,E-Mobility Partner,E-Mobility,SeeGasse 2,Chemnitz,East,09437
41,Dobes Green KG,Lieferant,Energy,TalWeg 55,Rostock,North,18983
42,Dobes Elektro GmbH,Smart Home Partner,Smart Home,GoetheRing 98,Rostock,North,18194
43,Johann Klima e.K.,Wartungspartner,Future Energy,GoetheStraße 54,Leipzig,East,04266
44,Koch Tech AG,Smart Home Partner,Smart Home,SchillerAllee 126,Potsdam,East,14920
45,Jacob Tech UG,Smart Home Partner,Smart Home,MozartAllee 25,Chemnitz,East,09952
46,Etzler Green e.K.,Wartungspartner,Future Energy,MarktPlatz 69,Duisburg,West,47676
47,Kranz Elektro UG,E-Mobility Partner,E-Mobility,BeethovenPlatz 110,Berlin,East,10195
48,Wohlgemut Green AG,Smart Home Partner,Smart Home,MozartPlatz 135,Hannover,North,30744
49,Weller Power GmbH,E-Mobility Partner,E-Mobility,ParkAllee 39,Kiel,North,24230
50,Eimer Power KG,Lieferant,Energy,TalStraße 142,Düsseldorf,West,40178
51,Segebahn Eco e.K.,Installateur,Future Energy,RathausStraße 119,Hannover,North,30776
52,Stey Smart GmbH,Smart Home Partner,Smart Home,WaldStraße 30,Dortmund,West,44858
53,Fechner Power GmbH,Wartungspartner,Future Energy,GoethePlatz 77,Dresden,East,01421
54,Bohnbach Smart KG,E-Mobility Partner,E-Mobility,TannenWeg 55,Chemnitz,East,09289
55,Radisch Haustechnik GmbH,Lieferant,Energy,RathausRing 5,Rostock,North,18105
56,Rose Wärme e.K.,Installateur,Future Energy,SchulGasse 104,Berlin,East,10989
57,Anders Smart KG,Lieferant,Energy,MarktAllee 23,Leipzig,East,04228
58,Schmidt Energie GmbH,Wartungspartner,Future Energy,LindenStraße 54,München,South,80592
59,Seip Power UG,Wartungspartner,Future Energy,LindenStraße 78,Ulm,South,89888
60,Gehringer Power GmbH,E-Mobility Partner,E-Mobility,SchillerWeg 40,Dresden,East,01856
61,Mans Solar e.K.,E-Mobility Partner,E-Mobility,TalWeg 52,Potsdam,East,14401
62,Killer Solar GmbH,Smart Home Partner,Smart Home,RathausPlatz 127,Berlin,East,10854
63,Ullmann Power e.K.,E-Mobility Partner,E-Mobility,WaldRing 125,Köln,West,50337
64,Hamann Power UG,Installateur,Future Energy,TannenRing 17,Hannover,North,30374
65,Schottin Green UG,Installateur,Future Energy,KirchPlatz 112,Potsdam,East,14121
66,Weiß Green KG,Wartungspartner,Future Energy,SchulWeg 130,Nürnberg,South,90324
67,Flantz Wärme KG,E-Mobility Partner,E-Mobility,MarktPlatz 93,Duisburg,West,47915
68,Langern Klima KG,Lieferant,Energy,GoetheGasse 124,Dresden,East,01232
69,Schmiedt Smart e.K.,Wartungspartner,Future Energy,SchillerPlatz 127,Stuttgart,South,70410
70,Striebitz Solar GmbH,Lieferant,Energy,KirchAllee 92,Stuttgart,South,70793
71,Margraf Solar GmbH,Lieferant,Energy,TannenPlatz 30,Stuttgart,South,70732
72,Harloff Klima e.K.,Lieferant,Energy,BirkenAllee 91,München,South,80887
73,Christoph Wärme UG,Smart Home Partner,Smart Home,SeeGasse 27,Hannover,North,30823
74,Ditschlerin Energie GmbH,E-Mobility Partner,E-Mobility,SeeRing 27,Lübeck,North,23943
75,Etzold Wärme GmbH,Installateur,Future Energy,LindenAllee 41,Hannover,North,30845
76,Weller Eco e.K.,E-Mobility Partner,E-Mobility,SchillerWeg 94,Bonn,West,53442
77,Ebert Green e.K.,Wartungspartner,Future Energy,HauptWeg 122,München,South,80449
78,Schacht Energie KG,Wartungspartner,Future Energy,KirchGasse 107,Duisburg,West,47469
79,Vollbrecht Power AG,Lieferant,Energy,MozartPlatz 106,Stuttgart,South,70519
80,Kraus Solar e.K.,Smart Home Partner,Smart Home,MozartStraße 133,Magdeburg,East,39171
81,Killer Power AG,Smart Home Partner,Smart Home,RathausStraße 101,Kiel,North,24877
82,Lorch Smart GmbH,Wartungspartner,Future Energy,WaldAllee 108,Rostock,North,18511
83,Jopich Elektro GmbH,Smart Home Partner,Smart Home,BirkenRing 38,Bonn,West,53817
84,Zorbach Eco UG,Wartungspartner,Future Energy,SeeGasse 114,Potsdam,East,14814
85,Etzold Klima KG,E-Mobility Partner,E-Mobility,GoetheStraße 138,Bonn,West,53442
86,Hentschel Eco UG,Wartungspartner,Future Energy,RosenWeg 24,Chemnitz,East,09623
87,Hofmann Tech AG,Smart Home Partner,Smart Home,HauptStraße 139,Duisburg,West,47706
88,Seidel Service e.K.,Smart Home Partner,Smart Home,WaldStraße 16,Düsseldorf,West,40961
89,Caspar Elektro GmbH,Lieferant,Energy,BahnhofGasse 32,Dortmund,West,44559
90,Hering Green KG,Installateur,Future Energy,EichenGasse 149,Duisburg,West,47679
91,Röhrdanz Haustechnik UG,Smart Home Partner,Smart Home,MozartGasse 97,Nürnberg,South,90632
92,Schinke Eco UG,Smart Home Partner,Smart Home,LindenAllee 117,München,South,80200
93,Schinke Power GmbH,E-Mobility Partner,E-Mobility,GoetheStraße 109,Ulm,South,89233
