vendor_key,vendor_name,vendor_type,vertical,address,city,state,zip
1,Schulz Energie UG,Smart Home Partner,Smart Home,BeethovenRing 86,Lübeck,North,23112
2,Hendriks Klima UG,Installateur,Future Energy,GoetheWeg 55,Düsseldorf,West,40498
3,Liebelt Energie UG,Wartungspartner,Future Energy,BirkenWeg 150,Düsseldorf,West,40430
4,Krebs Smart UG,Lieferant,Energy,SchillerGasse 27,Leipzig,East,04534
5,Salz Solar e.K.,E-Mobility Partner,E-Mobility,MozartAllee 17,Dortmund,West,44597
6,van der Dussen Smart UG,Lieferant,Energy,TalPlatz 16,Halle,East,06668
7,Hesse Power GmbH,Lieferant,Energy,RosenWeg 107,Regensburg,South,93948
8,Scholz Tech GmbH,E-Mobility Partner,E-Mobility,SonnenRing 147,Duisburg,West,47631
9,Plath Power AG,E-Mobility Partner,E-Mobility,SchulPlatz 74,Magdeburg,East,39895
10,Hering Solar e.K.,Smart Home Partner,Smart Home,GoetheWeg 141,Ulm,South,89406
11,Klemt Wärme e.K.,Installateur,Future Energy,EichenStraße 32,München,South,80804
12,Schaaf Smart GmbH,E-Mobility Partner,E-Mobility,BahnhofRing 32,Jena,East,07125
13,Peukert Eco AG,Wartungspartner,Future Energy,TannenGasse 29,Berlin,East,10874
14,Segebahn Service e.K.,Wartungspartner,Future Energy,BlumenAllee 139,Köln,West,50765
15,Atzler Elektro KG,Lieferant,Energy,SeeGasse 88,Osnabrück,North,49331
16,Pruschke Haustechnik AG,Installateur,Future Energy,BlumenStraße 84,Erfurt,East,99966
17,Heydrich Solar GmbH,Installateur,Future Energy,BeethovenRing 10,Stuttgart,South,70605
18,Krebs Haustechnik KG,Lieferant,Energy,BahnhofGasse 9,Lübeck,North,23596
19,Schinke Eco UG,Installateur,Future Energy,MozartRing 47,Potsdam,East,14400
20,Plath Klima KG,E-Mobility Partner,E-Mobility,SeeStraße 149,Dresden,East,01370
21,Weller Haustechnik GmbH,Smart Home Partner,Smart Home,SchulStraße 39,Wolfsburg,North,38699
22,Oestrovsky Smart AG,E-Mobility Partner,E-Mobility,BlumenPlatz 124,Potsdam,East,14780
23,Haering Klima e.K.,Lieferant,Energy,WaldStraße 30,Münster,West,48235
24,Etzler Elektro GmbH,Lieferant,Energy,BlumenGasse 54,Stuttgart,South,70970
25,Rust Elektro AG,Smart Home Partner,Smart Home,WaldGasse 94,Köln,West,50319
26,Zänker Solar UG,Wartungspartner,Future Energy,SternPlatz 91,Münster,West,48171
27,Metz Smart GmbH,Installateur,Future Energy,MozartStraße 5,Magdeburg,East,39318
28,Jopich Power KG,Wartungspartner,Future Energy,MarktWeg 85,Ulm,South,89198
29,Pergande Haustechnik e.K.,Wartungspartner,Future Energy,WiesenRing 123,Stuttgart,South,70519
30,Heydrich Energie e.K.,Smart Home Partner,Smart Home,BrunnenRing 27,Bochum,West,44996
31,Wernecke Eco KG,Lieferant,Energy,SchulAllee 116,Düsseldorf,West,40546
32,Käster Eco UG,Installateur,Future Energy,ParkAllee 131,Leipzig,East,04501
33,Loos Energie AG,E-Mobility Partner,E-Mobility,BahnhofRing 126,Bochum,West,44921
34,Faust Wärme GmbH,Wartungspartner,Future Energy,TalPlatz 56,Jena,East,07497
35,Mühle Klima UG,Smart Home Partner,Smart Home,SchulPlatz 139,Osnabrück,North,49210
36,Döring Elektro UG,Wartungspartner,Future Energy,BahnhofGasse 27,Braunschweig,North,38995
37,Seifert Tech UG,Smart Home Partner,Smart Home,GoetheRing 8,Magdeburg,East,39868
38,Grein Groth Green KG,Lieferant,Energy,HauptGasse 141,Nürnberg,South,90448
39,Mohaupt Power AG,Wartungspartner,Future Energy,GoetheWeg 134,Erfurt,East,99657
40,Bloch Eco UG,Lieferant,Energy,GoetheStraße 100,Rostock,North,18450
41,Schomber Tech AG,E-Mobility Partner,E-Mobility,BrunnenWeg 27,Bonn,West,53249
42,Fechner Service GmbH,Lieferant,Energy,RosenGasse 87,Braunschweig,North,38638
43,Heser Wärme AG,Smart Home Partner,Smart Home,TalWeg 37,Jena,East,07275
44,Jacob Haustechnik GmbH,E-Mobility Partner,E-Mobility,HeideWeg 1,München,South,80517
45,Krein Klima AG,Installateur,Future Energy,MondStraße 84,Berlin,East,10644
46,Schmidt Klima KG,E-Mobility Partner,E-Mobility,RathausWeg 61,Hannover,North,30103
47,Pruschke Wärme GmbH,Wartungspartner,Future Energy,MondPlatz 122,Ulm,South,89194
48,Hofmann Wärme UG,Wartungspartner,Future Energy,HeideAllee 67,Halle,East,06522
49,Keudel Eco GmbH,E-Mobility Partner,E-Mobility,SternGasse 53,Ingolstadt,South,85764
50,Rose Tech UG,Installateur,Future Energy,RosenRing 20,Würzburg,South,97816
51,Riehl Smart GmbH,Smart Home Partner,Smart Home,TalGasse 79,Kiel,North,24717
52,Schmiedecke Power UG,Installateur,Future Energy,BergRing 119,Rostock,North,18647
53,van der Dussen Power UG,Wartungspartner,Future Energy,SonnenPlatz 14,Stuttgart,South,70378
54,Baum Tech UG,E-Mobility Partner,E-Mobility,KirchGasse 54,Potsdam,East,14620
55,Schleich Power KG,Lieferant,Energy,HauptWeg 47,München,South,80811
56,Bolander Green AG,Wartungspartner,Future Energy,SonnenStraße 10,Oldenburg,North,26565
57,Kramer Solar e.K.,Lieferant,Energy,SternPlatz 110,Osnabrück,North,49590
58,Kuhl Green GmbH,Smart Home Partner,Smart Home,EichenRing 127,Bremen,North,28132
59,Baum Solar KG,Wartungspartner,Future Energy,HeideStraße 61,Cottbus,East,03411
60,Ruppersberger Eco AG,E-Mobility Partner,E-Mobility,BrunnenPlatz 149,München,South,80218
61,Huhn Haustechnik e.K.,Wartungspartner,Future Energy,LindenWeg 15,Augsburg,South,86512
62,Mosemann Tech AG,Lieferant,Energy,LindenAllee 43,Lübeck,North,23589
63,Pruschke Solar e.K.,Lieferant,Energy,ParkAllee 135,Wolfsburg,North,38475
64,Gumprich Wärme AG,Lieferant,Energy,BeethovenRing 21,Düsseldorf,West,40619
65,Bloch Solar AG,Installateur,Future Energy,BergPlatz 143,Rostock,North,18790
66,Lindau Service UG,Lieferant,Energy,GoetheAllee 23,Jena,East,07107
67,Finke Power AG,Installateur,Future Energy,HeideStraße 66,Rostock,North,18274
68,Löffler Smart KG,Lieferant,Energy,KirchPlatz 132,Halle,East,06770
69,Hoffmann Haustechnik KG,Lieferant,Energy,HauptStraße 149,Magdeburg,East,39569
70,Lachmann Green GmbH,Smart Home Partner,Smart Home,HauptRing 119,Leipzig,East,04412
71,Tschentscher Elektro KG,Lieferant,Energy,SchulStraße 106,Jena,East,07342
72,Kabus Smart AG,Wartungspartner,Future Energy,SchulPlatz 101,Berlin,East,10811
73,Paffrath Wärme AG,Smart Home Partner,Smart Home,HeideRing 134,Wuppertal,West,42598
74,Reichmann Eco KG,Smart Home Partner,Smart Home,BeethovenWeg 65,Magdeburg,East,39917
75,Rosemann Green UG,Installateur,Future Energy,RosenWeg 80,Dresden,East,01676
76,Schäfer Wärme e.K.,Wartungspartner,Future Energy,SchulRing 119,Wolfsburg,North,38730
77,Röhrdanz Eco AG,E-Mobility Partner,E-Mobility,SternAllee 78,Berlin,East,10878
78,Ortmann Klima AG,Smart Home Partner,Smart Home,KirchWeg 38,Münster,West,48471
79,Gierschner Eco KG,Wartungspartner,Future Energy,WaldPlatz 16,Lübeck,North,23911
80,Heuser Smart e.K.,Lieferant,Energy,EichenPlatz 81,Hannover,North,30825
81,Heuser Energie UG,E-Mobility Partner,E-Mobility,ParkGasse 17,Braunschweig,North,38338
82,Werner Energie UG,Wartungspartner,Future Energy,BirkenWeg 13,Magdeburg,East,39681
83,Jacob Green GmbH,Wartungspartner,Future Energy,KirchWeg 73,Rostock,North,18553
84,Krebs Energie e.K.,E-Mobility Partner,E-Mobility,TannenAllee 35,Essen,West,45392
85,Henk Solar UG,Smart Home Partner,Smart Home,GoetheStraße 5,Dortmund,West,44700
86,Carsten Green AG,E-Mobility Partner,E-Mobility,GoetheGasse 31,Aachen,West,52794
87,Faust Smart KG,Smart Home Partner,Smart Home,SonnenWeg 102,Regensburg,South,93497
88,Vogt Haustechnik UG,Installateur,Future Energy,BeethovenPlatz 143,Hamburg,North,20886
89,Radisch Haustechnik GmbH,Smart Home Partner,Smart Home,RathausStraße 117,Magdeburg,East,39802
90,Stolze Smart KG,Installateur,Future Energy,MarktPlatz 132,Regensburg,South,93198
91,Holt Klima UG,Lieferant,Energy,TalStraße 70,Regensburg,South,93590
92,Etzold Energie KG,Installateur,Future Energy,KirchGasse 67,Ingolstadt,South,85357
93,Striebitz Energie UG,Lieferant,Energy,TalStraße 137,Nürnberg,South,90161
94,Berger Service KG,Installateur,Future Energy,LindenGasse 138,Aachen,West,52893
95,Sager Wärme GmbH,Installateur,Future Energy,SonnenStraße 111,Braunschweig,North,38241
96,Gerlach Eco UG,Installateur,Future Energy,EichenRing 26,Karlsruhe,South,76277
97,Mielcarek Solar AG,Wartungspartner,Future Energy,SeeRing 110,Hamburg,North,20425
98,Jäkel Tech e.K.,Lieferant,Energy,TannenGasse 59,Nürnberg,South,90831
99,Sauer Haustechnik GmbH,Wartungspartner,Future Energy,SchillerGasse 72,Stuttgart,South,70669
100,Henschel Klima UG,Installateur,Future Energy,RathausAllee 54,Augsburg,South,86365
101,Stolze Tech AG,Wartungspartner,Future Energy,SchillerGasse 70,Braunschweig,North,38718
102,Rosenow Energie KG,E-Mobility Partner,E-Mobility,GoetheRing 114,Bonn,West,53209
103,Beyer Eco UG,Installateur,Future Energy,BergRing 105,Würzburg,South,97720
104,Schacht Service e.K.,Wartungspartner,Future Energy,KirchStraße 83,München,South,80316
105,Plath Green AG,Installateur,Future Energy,MozartGasse 106,Regensburg,South,93932
106,Davids Power e.K.,Lieferant,Energy,SternRing 108,Karlsruhe,South,76438
107,Stolze Haustechnik e.K.,Smart Home Partner,Smart Home,MozartPlatz 111,Braunschweig,North,38238
108,Budig Green UG,E-Mobility Partner,E-Mobility,HauptWeg 48,Bonn,West,53748
